,exp_name,task_number,task_trained_on,model,lambda,accuracy
foolish_train39_eval1,exp1,1,39,foolish,,39.5
EWC_train39_eval1,exp1,1,39,EWC,0.4,39.5
naive_train40_eval1,exp1,1,40,naive,,48.0
foolish_train40_eval1,exp1,1,40,foolish,,33.5
EWC_train40_eval1,exp1,1,40,EWC,0.4,41.0
naive_train41_eval1,exp1,1,41,naive,,41.5
foolish_train41_eval1,exp1,1,41,foolish,,54.0
EWC_train41_eval1,exp1,1,41,EWC,0.4,41.0
naive_train42_eval1,exp1,1,42,naive,,47.5
foolish_train42_eval1,exp1,1,42,foolish,,52.0
EWC_train42_eval1,exp1,1,42,EWC,0.4,54.5
naive_train43_eval1,exp1,1,43,naive,,33.5
foolish_train43_eval1,exp1,1,43,foolish,,42.0
EWC_train43_eval1,exp1,1,43,EWC,0.4,45.0
naive_train44_eval1,exp1,1,44,naive,,40.0
foolish_train44_eval1,exp1,1,44,foolish,,31.0
EWC_train44_eval1,exp1,1,44,EWC,0.4,44.0
naive_train45_eval1,exp1,1,45,naive,,28.5
foolish_train45_eval1,exp1,1,45,foolish,,29.5
EWC_train45_eval1,exp1,1,45,EWC,0.4,37.0
naive_train46_eval1,exp1,1,46,naive,,85.5
foolish_train46_eval1,exp1,1,46,foolish,,70.5
EWC_train46_eval1,exp1,1,46,EWC,0.4,63.5
naive_train47_eval1,exp1,1,47,naive,,61.0
foolish_train47_eval1,exp1,1,47,foolish,,46.5
EWC_train47_eval1,exp1,1,47,EWC,0.4,53.0
naive_train48_eval1,exp1,1,48,naive,,67.0
foolish_train48_eval1,exp1,1,48,foolish,,45.0
EWC_train48_eval1,exp1,1,48,EWC,0.4,50.5
naive_train49_eval1,exp1,1,49,naive,,77.0
foolish_train49_eval1,exp1,1,49,foolish,,62.0
EWC_train49_eval1,exp1,1,49,EWC,0.4,71.5
naive_train50_eval1,exp1,1,50,naive,,60.0
foolish_train50_eval1,exp1,1,50,foolish,,58.0
EWC_train50_eval1,exp1,1,50,EWC,0.4,58.5
naive_train51_eval1,exp1,1,51,naive,,76.5
foolish_train51_eval1,exp1,1,51,foolish,,81.0
EWC_train51_eval1,exp1,1,51,EWC,0.4,72.0
naive_train52_eval1,exp1,1,52,naive,,22.0
foolish_train52_eval1,exp1,1,52,foolish,,38.0
EWC_train52_eval1,exp1,1,52,EWC,0.4,46.5
naive_train53_eval1,exp1,1,53,naive,,42.0
foolish_train53_eval1,exp1,1,53,foolish,,51.0
EWC_train53_eval1,exp1,1,53,EWC,0.4,53.0
naive_train54_eval1,exp1,1,54,naive,,35.0
foolish_train54_eval1,exp1,1,54,foolish,,37.0
EWC_train54_eval1,exp1,1,54,EWC,0.4,45.0
naive_train55_eval1,exp1,1,55,naive,,48.5
foolish_train55_eval1,exp1,1,55,foolish,,52.5
EWC_train55_eval1,exp1,1,55,EWC,0.4,61.5
naive_train56_eval1,exp1,1,56,naive,,39.5
foolish_train56_eval1,exp1,1,56,foolish,,26.0
EWC_train56_eval1,exp1,1,56,EWC,0.4,39.0
naive_train57_eval1,exp1,1,57,naive,,33.0
foolish_train57_eval1,exp1,1,57,foolish,,28.5
EWC_train57_eval1,exp1,1,57,EWC,0.4,43.0
naive_train58_eval1,exp1,1,58,naive,,54.5
foolish_train58_eval1,exp1,1,58,foolish,,28.0
EWC_train58_eval1,exp1,1,58,EWC,0.4,48.0
naive_train59_eval1,exp1,1,59,naive,,46.5
foolish_train59_eval1,exp1,1,59,foolish,,50.5
EWC_train59_eval1,exp1,1,59,EWC,0.4,57.0
naive_train60_eval1,exp1,1,60,naive,,37.5
foolish_train60_eval1,exp1,1,60,foolish,,33.0
EWC_train60_eval1,exp1,1,60,EWC,0.4,43.5
naive_train61_eval1,exp1,1,61,naive,,52.0
foolish_train61_eval1,exp1,1,61,foolish,,48.5
EWC_train61_eval1,exp1,1,61,EWC,0.4,47.0
naive_train62_eval1,exp1,1,62,naive,,39.0
foolish_train62_eval1,exp1,1,62,foolish,,45.5
EWC_train62_eval1,exp1,1,62,EWC,0.4,38.5
naive_train63_eval1,exp1,1,63,naive,,46.0
